relation,sbert_f1,clip_text_f1
touching,0.9892583427620458,0.9814817622759058
on top of,0.9514806837641311,0.9513900154326237
far away from,0.9635007705284713,0.864961983537912
behind,0.9721972371719476,0.7867609680096341
under,0.8754179478556026,0.7803113519720452
in front of,0.921424670928249,0.7334894030955846
at the left side of,0.9143076652994193,0.7310176557074901
at the right side of,0.9315489830024456,0.6327849432718193
above,0.8598686557445221,0.638688969818741
left of,0.9403229076079768,0.5436818243726224
facing away from,0.9534594357122955,0.496029914540958
facing,0.9405843876637248,0.4973459829470398
on,0.7722690768313223,0.6624618990675316
inside,0.8419983589842591,0.5819461312567922
at the edge of,0.900602681085636,0.5015199978357748
contains,0.6630110304438818,0.6506250758576917
beneath,0.6234790565876225,0.6831993691560285
far from,0.6925024074664814,0.4963604084112501
away from,0.6561334906231927,0.5148054460168199
at the back of,0.6663869531417365,0.49787512258908145
below,0.6375964498285331,0.5243510285398915
in the middle of,0.6588250490271012,0.4980720128626427
part of,0.5999661874866693,0.4972176759410802
in,0.5585836225989628,0.49387108650017
next to,0.545292741942915,0.492868453910743
parallel to,0.5289063680798218,0.4980720128626427
beside,0.5098841943773749,0.49553335965769696
outside,0.49931546185601106,0.49931546185601106
opposite to,0.49931546185601106,0.49931546185601106
connected to,0.49928281419442105,0.49928281419442105
ahead of,0.49915220225147816,0.49915220225147816
toward,0.4991195332933053,0.4991195332933053
within,0.4991195332933053,0.4991195332933053
consists of,0.4990868643351324,0.4990868643351324
by,0.4989561458675852,0.4989561458675852
against,0.49879265181298155,0.49879265181298155
attached to,0.49866178399817923,0.49866178399817923
alongside,0.49866178399817923,0.49866178399817923
at the side of,0.49862905102507904,0.49862905102507904
adjacent to,0.4983343045853408,0.4983343045853408
perpendicular to,0.49830152883103435,0.49830152883103435
off,0.4982359773224214,0.4982359773224214
over,0.4982359773224214,0.4982359773224214
surrounding,0.49787512258908145,0.49787512258908145
close to,0.49780944242199043,0.49780944242199043
right of,0.4975466143277723,0.4975466143277723
across from,0.4975137312527938,0.4975137312527938
near,0.4974150820278581,0.4974150820278581
