relation,n_samples,n_positive,n_negative,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,precision_mean,recall_mean
touching,884,423,461,0.9653645833333334,0.003119569935081002,0.901715402326189,0.010282110120294188,0.9625984005510148,0.9811721324800544,0.8495602208525938
on top of,349,168,181,0.9684895833333332,0.003556380282225941,0.7243870235120589,0.04245929942736871,0.9601721403185696,0.9840280765270373,0.6534989648033126
under,415,218,197,0.94921875,0.0010894010762162486,0.54341228488518,0.01796446001566941,0.9273410592833097,0.974527020626131,0.5301204819277109
adjacent to,51,29,22,0.993359375,0.00026041666666669626,0.4983343045853408,6.555150861291548e-05,0.9900501408293183,0.4966796875,0.5
perpendicular to,52,24,28,0.9932291666666666,0.00031894397692492927,0.49830152883103435,8.02838739856498e-05,0.9898552756712645,0.4966145833333333,0.5
off,54,28,26,0.99296875,0.0002604166666666963,0.4982359773224214,6.555150861291548e-05,0.989465545355157,0.496484375,0.5
over,54,24,30,0.99296875,0.0002604166666666963,0.4982359773224214,6.555150861291548e-05,0.989465545355157,0.496484375,0.5
in the middle of,59,27,32,0.9923177083333332,0.0002604166666666518,0.4980720128626427,6.559435273618685e-05,0.9884913909413815,0.4961588541666666,0.5
parallel to,59,27,32,0.9923177083333332,0.0002604166666666518,0.4980720128626427,6.559435273618685e-05,0.9884913909413815,0.4961588541666666,0.5
at the back of,65,35,30,0.9915364583333334,0.0,0.49787512258908145,5.551115123125783e-17,0.987322671488504,0.4957682291666667,0.5
surrounding,65,36,29,0.9915364583333334,0.0,0.49787512258908145,5.551115123125783e-17,0.987322671488504,0.4957682291666667,0.5
close to,67,47,20,0.9912760416666666,0.00031894397692492927,0.49780944242199043,8.044144779688308e-05,0.9869331984893526,0.4956380208333333,0.5
right of,75,36,39,0.990234375,0.0,0.4975466143277723,0.0,0.9853755213444554,0.4951171875,0.5
across from,76,43,33,0.9901041666666666,0.00026041666666665186,0.4975137312527938,6.576614995708052e-05,0.9851808708277459,0.4950520833333333,0.5
near,79,49,30,0.9897135416666668,0.0002604166666666519,0.4974150820278581,6.576614995708052e-05,0.984596919277617,0.4948567708333334,0.5
part of,85,42,43,0.9889322916666666,0.0,0.4972176759410802,0.0,0.9834292314511728,0.4944661458333333,0.5
away from,105,47,58,0.986328125,0.0,0.49655850540806296,0.0,0.9795392391838741,0.4931640625,0.5
far from,111,51,60,0.985546875,0.00026041666666669626,0.4963604084112501,6.606842340137753e-05,0.9783729331774997,0.4927734375,0.5
facing away from,121,62,59,0.9842447916666666,0.00026041666666665186,0.496029914540958,6.615517005237326e-05,0.9764297542514171,0.4921223958333333,0.5
beside,136,75,61,0.9822916666666666,0.00026041666666665186,0.49553335965769696,6.628561071444494e-05,0.9735166140179393,0.4911458333333333,0.5
at the edge of,151,77,74,0.9803385416666666,0.00026041666666665186,0.49503582531179724,6.641643754941029e-05,0.9706054327097388,0.4901692708333333,0.5
left of,155,73,82,0.9798177083333334,0.0,0.49490299243669844,0.0,0.9698294317932697,0.4899088541666667,0.5
far away from,161,77,84,0.9790364583333332,0.00026041666666665186,0.49470359016989657,6.650387073310337e-05,0.9686657363268735,0.4895182291666666,0.5
inside,177,83,94,0.976953125,0.00031894397692487484,0.4941710992619354,8.161129653282656e-05,0.9655640514761291,0.4884765625,0.5
in,186,92,94,0.97578125,0.00026041666666669626,0.49387108650017,6.672321053324826e-05,0.9638203269996601,0.487890625,0.5
below,189,108,81,0.975390625,0.0002604166666666963,0.49377100168437005,6.672321053324826e-05,0.9632392466312598,0.4876953125,0.5
next to,216,127,89,0.971875,0.00026041666666669626,0.492868453910743,6.698785365419902e-05,0.9580130921785139,0.4859375,0.5
facing,219,117,102,0.971484375,0.0002604166666666963,0.4927679721302617,6.698785365419902e-05,0.9574328057394765,0.4857421875,0.5
above,237,120,117,0.969140625,0.00031894397692487484,0.4921642398006035,8.226018288765047e-05,0.9539527703987931,0.4845703125,0.5
contains,242,118,124,0.9684895833333333,0.00031894397692487484,0.4919962824693225,8.231460576746433e-05,0.9529866017280216,0.4842447916666667,0.5
beneath,250,134,116,0.9674479166666666,0.0,0.49172733289212445,0.0,0.9514411675490845,0.4837239583333333,0.5
behind,498,234,264,0.9356770833333332,0.0002604166666666518,0.49131654740247377,0.003984599573844137,0.905095444002681,0.8678217884771987,0.504010101010101
at the left side of,273,138,135,0.964453125,0.00031894397692487484,0.49095246222367483,8.264228011479837e-05,0.9470013255526503,0.4822265625,0.5
at the right side of,335,164,171,0.9563802083333334,0.0,0.4888519134775374,0.0,0.9350565897115917,0.4781901041666667,0.5
on,408,214,194,0.946875,0.00031894397692487484,0.48635632650459737,8.41413033954703e-05,0.9210373469908051,0.4734375,0.5
in front of,528,263,265,0.9313802083333333,0.0005208333333333038,0.48411994785681206,0.0038915795514534884,0.8984172917983034,0.5656856932003257,0.5009523809523809
