relation,n_samples,n_positive,n_negative,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,precision_mean,recall_mean
touching,884,423,461,0.9927083333333334,0.003380404944204989,0.9814817622759058,0.00889788902904583,0.9925795137038497,0.9959204708871893,0.9683391114535181
on top of,349,168,181,0.9923177083333332,0.002484216670356617,0.9513900154326237,0.017078862680867078,0.9919358440487926,0.9960112494486048,0.9155486542443064
far away from,161,77,84,0.9912760416666668,0.0014023866685245843,0.864961983537912,0.028554834957269213,0.9900976337414207,0.9955850712059842,0.7916666666666666
behind,498,234,264,0.9625,0.0034841375417342625,0.7867609680096341,0.028900719348705698,0.9552528762364751,0.9758706409265379,0.7125880454218565
under,415,218,197,0.9678385416666668,0.0027188298200287978,0.7803113519720452,0.025773198839379834,0.9613466849798232,0.9780813900248241,0.7046816308592941
in front of,528,263,265,0.9536458333333334,0.0006378879538497769,0.7334894030955846,0.0068212766099185924,0.942413537885443,0.9762922195430859,0.6628571428571429
at the left side of,273,138,135,0.9755208333333334,0.0020833333333333246,0.7310176557074901,0.03542038313741518,0.9692350071154042,0.982688295285033,0.6574408955637855
beneath,250,134,116,0.9751302083333334,0.001717565879983443,0.6831993691560285,0.03310307282384804,0.9675116661101926,0.9874703000475948,0.618
on,408,214,194,0.9580729166666666,0.0019574604659339705,0.6624618990675316,0.025671612405640885,0.9447810985234433,0.9788009352448427,0.6053748870822042
contains,242,118,124,0.9744791666666666,0.0022702598664274313,0.6506250758576917,0.050045170580388425,0.9657842019749923,0.9871650433643661,0.5951955782312925
above,237,120,117,0.9744791666666668,0.0015625000000000038,0.638688969818741,0.04242973556196548,0.9655251961169805,0.9871724334572811,0.5863031914893617
at the right side of,335,164,171,0.9630208333333334,0.0021553314267248333,0.6327849432718193,0.0428667128787248,0.9506381695544472,0.9360125147808122,0.5860906495432977
inside,177,83,94,0.9791666666666666,0.0005823093691405868,0.5819461312567922,0.0193105738930523,0.9706674303728748,0.9895603492944272,0.5480158730158731
left of,155,73,82,0.980859375,0.0005208333333333427,0.5436818243726224,0.023013249227344282,0.9722984561305307,0.9904198414003677,0.5258064516129032
below,189,108,81,0.976171875,0.0008831158832194511,0.5243510285398915,0.02463886100390522,0.9651044022385253,0.8880768978576103,0.5160028449502134
away from,105,47,58,0.9865885416666667,0.00031894397692487484,0.5148054460168199,0.022347846929161974,0.9801648624372991,0.6932925743078175,0.5095238095238095
at the edge of,151,77,74,0.98046875,0.0004117549036677343,0.5015199978357748,0.012985108396370737,0.9709212962200888,0.590233145019001,0.5033333333333333
adjacent to,51,29,22,0.993359375,0.00026041666666669626,0.4983343045853408,6.555150861291548e-05,0.9900501408293183,0.4966796875,0.5
perpendicular to,52,24,28,0.9932291666666666,0.00031894397692492927,0.49830152883103435,8.02838739856498e-05,0.9898552756712645,0.4966145833333333,0.5
over,54,24,30,0.99296875,0.0002604166666666963,0.4982359773224214,6.555150861291548e-05,0.989465545355157,0.496484375,0.5
off,54,28,26,0.99296875,0.0002604166666666963,0.4982359773224214,6.555150861291548e-05,0.989465545355157,0.496484375,0.5
parallel to,59,27,32,0.9923177083333332,0.0002604166666666518,0.4980720128626427,6.559435273618685e-05,0.9884913909413815,0.4961588541666666,0.5
in the middle of,59,27,32,0.9923177083333332,0.0002604166666666518,0.4980720128626427,6.559435273618685e-05,0.9884913909413815,0.4961588541666666,0.5
at the back of,65,35,30,0.9915364583333334,0.0,0.49787512258908145,5.551115123125783e-17,0.987322671488504,0.4957682291666667,0.5
surrounding,65,36,29,0.9915364583333334,0.0,0.49787512258908145,5.551115123125783e-17,0.987322671488504,0.4957682291666667,0.5
close to,67,47,20,0.9912760416666666,0.00031894397692492927,0.49780944242199043,8.044144779688308e-05,0.9869331984893526,0.4956380208333333,0.5
right of,75,36,39,0.990234375,0.0,0.4975466143277723,0.0,0.9853755213444554,0.4951171875,0.5
across from,76,43,33,0.9901041666666666,0.00026041666666665186,0.4975137312527938,6.576614995708052e-05,0.9851808708277459,0.4950520833333333,0.5
near,79,49,30,0.9897135416666668,0.0002604166666666519,0.4974150820278581,6.576614995708052e-05,0.984596919277617,0.4948567708333334,0.5
facing,219,117,102,0.9716145833333332,0.0005208333333333481,0.4973459829470398,0.009223009487210289,0.9577505935761179,0.5858055103148752,0.5023255813953489
part of,85,42,43,0.9889322916666666,0.0,0.4972176759410802,0.0,0.9834292314511728,0.4944661458333333,0.5
far from,111,51,60,0.985546875,0.00026041666666669626,0.4963604084112501,6.606842340137753e-05,0.9783729331774997,0.4927734375,0.5
facing away from,121,62,59,0.9842447916666666,0.00026041666666665186,0.496029914540958,6.615517005237326e-05,0.9764297542514171,0.4921223958333333,0.5
beside,136,75,61,0.9822916666666666,0.00026041666666665186,0.49553335965769696,6.628561071444494e-05,0.9735166140179393,0.4911458333333333,0.5
in,186,92,94,0.97578125,0.00026041666666669626,0.49387108650017,6.672321053324826e-05,0.9638203269996601,0.487890625,0.5
next to,216,127,89,0.971875,0.00026041666666669626,0.492868453910743,6.698785365419902e-05,0.9580130921785139,0.4859375,0.5
