relation,n_samples,n_positive,n_negative,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,precision_mean,recall_mean
touching,884,423,461,0.995703125,0.002870495792324037,0.9892583427620458,0.0072738987924844106,0.9956630306540648,0.9960216357862921,0.9828108365051345
behind,498,234,264,0.9936197916666666,0.0026811536825487093,0.9721972371719476,0.012046278405169765,0.9934356149680941,0.9966157180462354,0.9508282828282828
far away from,161,77,84,0.9971354166666668,0.0012075024082676513,0.9635007705284713,0.01593184064756823,0.9970745415431852,0.9821537296235349,0.9467319471308834
facing away from,121,62,59,0.9975260416666666,0.0021156350012072936,0.9534594357122955,0.04039008325664704,0.9973309052545953,0.9987488294029567,0.9208333333333332
on top of,349,168,181,0.9923177083333334,0.002343749999999995,0.9514806837641311,0.01568726553399149,0.9919418529698587,0.9960108019638767,0.9155900621118012
facing,219,117,102,0.994140625,0.0014846034180978295,0.9405843876637248,0.017712138987870756,0.9937849551607059,0.9970037179232139,0.8970401691331924
left of,155,73,82,0.9958333333333332,0.001573313277811783,0.9403229076079768,0.02486554372339065,0.995555682020435,0.9978840303261911,0.8967741935483872
at the right side of,335,164,171,0.98984375,0.0022777155839239557,0.9315489830024456,0.017540471999079953,0.9892069993858449,0.989514127511223,0.8878554809343344
in front of,528,263,265,0.982421875,0.003728599235228203,0.921424670928249,0.01928986823282937,0.9811403780048179,0.9907447640468832,0.8721024258760106
at the left side of,273,138,135,0.9899739583333333,0.0024567659198064125,0.9143076652994193,0.023758228075390644,0.9891114010333297,0.9948589824805047,0.8588552188552189
at the edge of,151,77,74,0.9936197916666666,0.0013902445640665854,0.900602681085636,0.02453990632268064,0.9929732812813622,0.996767892336434,0.8378494623655914
under,415,218,197,0.9776041666666666,0.0012757759076995538,0.8754179478556026,0.009765643262306585,0.9760534425502104,0.9365437736827469,0.8313949535236611
above,237,120,117,0.9868489583333332,0.0021553314267248563,0.8598686557445221,0.028727663380580533,0.9850352542166438,0.99330841829285,0.786790780141844
inside,177,83,94,0.9891927083333332,0.0021236336497786677,0.8419983589842591,0.0412053883999021,0.9874593888758154,0.9945315148737951,0.7657936507936507
on,408,214,194,0.9673177083333334,0.0031195699350809467,0.7722690768313223,0.028271942025795135,0.9606210174768343,0.9684287345710704,0.6983012020324262
far from,111,51,60,0.9893229166666666,0.0021236336497786473,0.6925024074664814,0.09951698887770016,0.9858905266890599,0.9946434864155564,0.6304347826086957
at the back of,65,35,30,0.993359375,0.0010416666666666463,0.6663869531417365,0.09127116709439145,0.9910721884713224,0.8966741643795938,0.6076923076923076
contains,242,118,124,0.975,0.0017758049084616967,0.6630110304438818,0.03912589557900288,0.9668264265972416,0.9874196345485707,0.6032738095238095
in the middle of,59,27,32,0.9938802083333333,0.0009743899444724084,0.6588250490271012,0.08200571414841888,0.9917330481197858,0.9969357721565139,0.6015151515151514
away from,105,47,58,0.9889322916666667,0.0005823093691405867,0.6561334906231927,0.030251660139515784,0.9851707830352346,0.9944518656654241,0.5952380952380952
below,189,108,81,0.9795572916666668,0.0015733132778117883,0.6375964498285331,0.043258333399281285,0.9722943011004747,0.9897370028033604,0.5847795163584637
beneath,250,134,116,0.9723958333333333,0.0015184770559492772,0.6234790565876225,0.035795557397573646,0.962337395458318,0.986130417474266,0.576
part of,85,42,43,0.990234375,0.0007131804134181851,0.5999661874866693,0.049498990856232786,0.9863407657972234,0.9951110740303889,0.5588235294117647
in,186,92,94,0.97734375,0.0012624166295355085,0.5585836225989628,0.0319118074315133,0.9676872866858472,0.9387167612223294,0.5349972557055687
next to,216,127,89,0.9734375,0.00048719497223621004,0.545292741942915,0.020743121130003955,0.9617078855796187,0.9866981127518603,0.5276955602536998
parallel to,59,27,32,0.992578125,0.00031894397692487484,0.5289063680798218,0.03773748713859187,0.9891013914985486,0.6962881294109663,0.5166666666666666
beside,136,75,61,0.9825520833333332,0.00048719497223616255,0.5098841943773749,0.01760327621078281,0.9741467976384671,0.6912738361834962,0.5074074074074074
adjacent to,51,29,22,0.993359375,0.00026041666666669626,0.4983343045853408,6.555150861291548e-05,0.9900501408293183,0.4966796875,0.5
perpendicular to,52,24,28,0.9932291666666666,0.00031894397692492927,0.49830152883103435,8.02838739856498e-05,0.9898552756712645,0.4966145833333333,0.5
off,54,28,26,0.99296875,0.0002604166666666963,0.4982359773224214,6.555150861291548e-05,0.989465545355157,0.496484375,0.5
over,54,24,30,0.99296875,0.0002604166666666963,0.4982359773224214,6.555150861291548e-05,0.989465545355157,0.496484375,0.5
surrounding,65,36,29,0.9915364583333334,0.0,0.49787512258908145,5.551115123125783e-17,0.987322671488504,0.4957682291666667,0.5
close to,67,47,20,0.9912760416666666,0.00031894397692492927,0.49780944242199043,8.044144779688308e-05,0.9869331984893526,0.4956380208333333,0.5
right of,75,36,39,0.990234375,0.0,0.4975466143277723,0.0,0.9853755213444554,0.4951171875,0.5
across from,76,43,33,0.9901041666666666,0.00026041666666665186,0.4975137312527938,6.576614995708052e-05,0.9851808708277459,0.4950520833333333,0.5
near,79,49,30,0.9897135416666668,0.0002604166666666519,0.4974150820278581,6.576614995708052e-05,0.984596919277617,0.4948567708333334,0.5
